,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2017-01-26,-0.0735654935263103,-0.9595537693325543,-1.5934690913321958,-1.0653544740773726,-1.5274649974853185
2017-01-27,-0.0866839489741592,-0.887674959559316,-1.4808466269048912,-0.9901900729485035,-1.4207187507274237
2017-01-30,-0.6027673496096654,-0.8357100846811288,-1.3975437997591773,-0.9386065770871687,-1.3468017995196762
2017-01-31,-0.0890301608032545,-0.9107738783040046,-1.5170826199103442,-1.0112671411492495,-1.4491420267408444
2017-02-01,0.0298318988116289,-0.8554746687501056,-1.4305233968484754,-0.9548235664374676,-1.3681831725330247
2017-02-02,0.0570146838691013,-0.8031992329719035,-1.347125973555503,-0.9060257176733091,-1.2993664415533128
2017-02-03,0.7238496854553608,-0.7590266087273999,-1.2776601622497619,-0.8684318528323403,-1.2464847199053966
2017-02-06,-0.2117597513709103,-0.8657947592016003,-1.4551104501589949,-0.9745538735533709,-1.3966051275103157
2017-02-07,0.0226803463845771,-0.8334315478047029,-1.399851664765068,-0.9399170902479929,-1.3473008760669956
2017-02-08,0.0693082148609631,-0.7863175200474798,-1.328318618766777,-0.8947085733742173,-1.2822878455594262
2017-02-09,0.573606373596025,-0.7486230640193753,-1.2678626662043495,-0.8629255186878948,-1.236817631136637
2017-02-10,0.3559706822009091,-0.8086242272685714,-1.363653952996731,-0.9235221578602967,-1.3229967751197624
2017-02-13,0.5232133584011204,-0.7939694452803358,-1.3386569742156051,-0.9109392292778047,-1.305676496917001
2017-02-14,0.3999327195672579,-0.8208504673640504,-1.3809827135144774,-0.9384756090109377,-1.3453151334322087
2017-02-15,0.497988866573445,-0.8132417981427112,-1.370265992402712,-0.9301774810249213,-1.3334109850054496
2017-02-16,-0.0864491601550169,-0.8244964211041523,-1.386375660067892,-0.943223878118335,-1.3525430533300773
2017-02-17,0.1677149327237158,-0.7803758821902151,-1.3136592707797794,-0.9006633701894787,-1.2922434828639857
2017-02-21,0.6029850020069154,-0.7385627660291216,-1.2453410566287617,-0.8653672200228408,-1.2428024363323895
2017-02-22,-0.1082786146804093,-0.7930768214654514,-1.3316692905562701,-0.9218459024471045,-1.323596206444801
2017-02-23,0.0418898971259233,-0.7531186103603863,-1.2664141777955826,-0.8816001859072681,-1.2669557155153024
2017-02-24,0.1492250232031652,-0.7127311092650446,-1.2017812672642658,-0.8445315351550748,-1.2144933476971593
2017-02-27,0.1017465267733664,-0.6773542290234382,-1.145497689188759,-0.8160857362060447,-1.1748518600492994
2017-02-28,-0.2581706115194909,-0.6435037899198552,-1.0913280850321436,-0.7907136207174472,-1.1394867465488179
2017-03-01,1.3581211083725322,-0.6554610366433554,-1.1064638239887252,-0.8027312156116967,-1.15643718447402
2017-03-02,-0.587711697210527,-1.0748722059560114,-1.805155898674874,-1.2185928028055757,-1.7466100160246991
2017-03-03,0.0503750368534789,-1.0802750008741862,-1.807313368836632,-1.197140908553498,-1.7161563718072452
2017-03-06,-0.3282622763565812,-0.9883320400506339,-1.6600079287724174,-1.0826827434934458,-1.555750544142015
2017-03-07,-0.2917625902089877,-0.9469663678673567,-1.5893498423758308,-1.0338970129546332,-1.4863798012398608
2017-03-08,-0.2286827964063899,-0.9093564025888498,-1.5294909039569613,-0.99242310395337,-1.4268405775864264
2017-03-09,0.0799575612766386,-0.8662416753142059,-1.46033230618608,-0.9490574473399678,-1.365427334248406
2017-03-10,0.3263339705858542,-0.8132160271008441,-1.3768035537745948,-0.8966134412882334,-1.2905007610269368
2017-03-13,0.0366565619169632,-0.7839933667948419,-1.3288950589843975,-0.8742130291742913,-1.2592104763083252
2017-03-14,-0.3384748980891005,-0.7431016022290211,-1.2648847783029413,-0.8393728510505223,-1.2090696320078316
2017-03-15,0.8339879124686365,-0.7520994849234374,-1.2791490600027324,-0.8579502638304829,-1.2351971544227902
2017-03-16,-0.1628034799183614,-0.8831073440799581,-1.4971839027910703,-0.9976824207072628,-1.43319601756417
2017-03-17,-0.1315179264231435,-0.8349335499283135,-1.4157224807708706,-0.9411454391612435,-1.353343955336763
2017-03-20,-0.2011916080380294,-0.7911037218993903,-1.3463476663133176,-0.8953526594757083,-1.2886048111337318
2017-03-21,-1.2485594590102116,-0.7658436743848307,-1.3071749373628665,-0.8684598749571864,-1.2518489737401535
2017-03-22,0.1888102847462667,-1.1218181781098457,-1.898598402322697,-1.2507663390148418,-1.7913829775008434
2017-03-23,-0.1060832144830083,-1.0296913255264177,-1.74405264370338,-1.1313706387248847,-1.6222076538844652
2017-03-24,-0.0844352213938482,-0.9558209462969313,-1.623175793445871,-1.04239572102253,-1.4944605256250778
2017-03-27,-0.102010758584563,-0.8933933633511297,-1.5249034579713552,-0.9707909459409648,-1.3942580300203071
2017-03-28,0.7225308829623951,-0.8411454493032684,-1.4413883589665977,-0.9179451763547325,-1.3199062490697235
2017-03-29,0.1084736203830169,-0.9013392808375251,-1.5391198299479762,-0.9902802664215534,-1.4225053269458476
2017-03-30,0.2930810911705013,-0.845870002182533,-1.4511828275152077,-0.9297953307705402,-1.3362032907452734
2017-03-31,-0.2257593938266817,-0.8081656397998834,-1.3889701154959595,-0.895378069869574,-1.2881270694425673
2017-04-03,-0.1643475308013331,-0.784331213962652,-1.3471273884216248,-0.8774081397208586,-1.2621672912203663
2017-04-04,0.0559366074661371,-0.756109874080558,-1.3001545938170378,-0.8551055197559218,-1.2299575883874967
2017-04-05,-0.3059536811522123,-0.7180695152024742,-1.238915074082002,-0.8238904407272857,-1.1853334361763506
2017-04-06,0.1927650293734993,-0.722404323682539,-1.2466308630127965,-0.8374450379059958,-1.2045667728011253
2017-04-07,-0.0827472462944871,-0.6922131145560634,-1.1944390072264524,-0.8134533541726837,-1.170741307826055
2017-04-10,0.0687450135783276,-0.6660052877484188,-1.1513400735074375,-0.794887076959462,-1.144029107740773
2017-04-11,-0.1434908291958284,-0.6338447838833332,-1.0966219789939835,-0.7723209848375194,-1.1124021030205804
2017-04-12,-0.3767037418986906,-0.6217247143504245,-1.07986467040917,-0.7645059005674302,-1.1025695145667809
2017-04-13,-0.6838020289804216,-0.6688579284014399,-1.1595033120916407,-0.8122254398601021,-1.168454458207412
2017-04-17,0.8576465691107291,-0.8052009111126579,-1.3842485486566116,-0.9487695507347951,-1.3608984436489115
2017-04-18,-0.2907602845833255,-0.9372375667468811,-1.6051560792903938,-1.066491017802222,-1.5278849528803495
2017-04-19,-0.1717825396868574,-0.8926850279503864,-1.5271839422563374,-1.0096971342630852,-1.4470639886112722
2017-04-20,0.7528850362973852,-0.8403080128234963,-1.4372973893782266,-0.9501003980645857,-1.362426641838274
2017-04-21,-0.3039688107115378,-0.9150374432578392,-1.560519027383137,-1.022412012244359,-1.4658078187329262
2017-04-24,1.0781736588111828,-0.8798763224599403,-1.498400310655826,-0.9795904944369535,-1.4049396424134046
2017-04-25,0.6072214211751177,-1.0688457989518496,-1.8112220301257296,-1.17221480569203,-1.6786499618466526
2017-04-26,-0.0485821475687349,-1.04447638732749,-1.7743716347609266,-1.1310011967878908,-1.621455895923604
2017-04-27,0.0552767000299206,-0.9638569255951438,-1.647342292420316,-1.0364773832624015,-1.4868766861841642
2017-04-28,-0.1914979471490041,-0.8927410132837276,-1.526923529840518,-0.956279559990674,-1.3737098568747301
2017-05-01,0.1730791826893825,-0.8467246237939178,-1.4554991695601718,-0.909284120902031,-1.308355684556808
2017-05-02,0.1188343585811529,-0.7949505332042692,-1.371514266465105,-0.8596219158453443,-1.2386227291413876
2017-05-03,-0.1272169395827386,-0.748047917570189,-1.29253923782218,-0.817822304606028,-1.1794732427653791
2017-05-04,0.0581933287869546,-0.7217108813314818,-1.2516828410840046,-0.8007646164073612,-1.1539305705253615
